sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU-0001,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2
SKU-0002,Decor,Wall Art,2025-02-15,892.92,1857.98
SKU-0003,Small Appliances,Air Purifiers,2023-11-13,1253.37,2088.75
SKU-0004,Decor,Wall Art,2023-10-26,1126.32,1819.4
SKU-0005,Furnishings,Storage,2024-04-18,5847.11,12073.72
SKU-0006,Small Appliances,Air Purifiers,2023-08-13,1512.57,2958.85
SKU-0007,Small Appliances,Heaters,2024-06-21,1415.7,3466.1
SKU-0008,Small Appliances,Heaters,2026-03-07,870.11,1917.35
SKU-0009,Furnishings,Chairs,2023-09-20,4001.2,6760.62
SKU-0010,Decor,Vases,2023-09-04,2134.18,3902.63
SKU-0011,Decor,Wall Art,2023-11-30,522.01,972.95
SKU-0012,Small Appliances,Air Purifiers,2026-01-27,3796.02,6086.48
SKU-0013,Decor,Rugs,2024-12-21,1886.91,3296.4
SKU-0014,Small Appliances,Heaters,2025-01-03,1715.69,2805.26
SKU-0015,Decor,Lighting,2024-07-25,1242.99,1952.37
SKU-0016,Furnishings,Storage,2024-03-12,5036.27,9613.62
SKU-0017,Decor,Lighting,2024-07-30,1022.36,1739.74
SKU-0018,Furnishings,Chairs,2024-10-18,2543.27,5758.76
SKU-0019,Small Appliances,Heaters,2024-07-08,1878.6,4427.14
SKU-0020,Decor,Lighting,2026-02-19,834.64,1833.36
SKU-0021,Small Appliances,Fans,2024-01-24,2861.58,5355.76
SKU-0022,Decor,Wall Art,2024-05-02,838.4,1580.3
SKU-0023,Small Appliances,Fans,2024-03-22,2459.8,4329.67
SKU-0024,Small Appliances,Kitchen Appliances,2024-04-20,2123.01,5043.83
SKU-0025,Small Appliances,Fans,2024-01-15,2868.34,5891.6
SKU-0026,Furnishings,Storage,2023-12-07,3104.93,6658.99
SKU-0027,Decor,Lighting,2026-04-14,915.82,1844.9
SKU-0028,Furnishings,Tables,2024-07-14,3018.53,4903.02
SKU-0029,Furnishings,Chairs,2023-12-23,4794.19,10624.93
SKU-0030,Decor,lighting,2023-12-24,705.83,1423.17
SKU-0031,Small Appliances,Kitchen Appliances,2024-01-01,745.28,1435.05
SKU-0032,Small Appliances,Heaters,2025-08-10,648.44,1554.29
SKU-0033,Decor,Lighting,2024-07-12,1116.7,2047.69
SKU-0034,Decor,Lighting,2024-04-05,897.08,1952.86
SKU-0035,Decor,Lighting,2024-04-13,1046.13,1706.43
SKU-0036,Furnishings,Tables,2024-03-16,7305.74,14275.94
SKU-0037,Furnishings,Tables,2024-02-07,3442.15,8534.06
SKU-0038,Decor,rugs,2024-12-03,1994.93,4065.21
SKU-0039,Furnishings,Sofas,2023-11-16,4735.03,8827.08
SKU-0040,Decor,vases,2024-02-15,783.19,1363.21
SKU-0041,Decor,Lighting,2024-07-03,344.99,801.92
SKU-0042,Small Appliances,Kitchen Appliances,2024-07-05,2107.18,3358.64
SKU-0043,Small Appliances,Kitchen Appliances,2024-05-12,1369.72,3005.03
SKU-0044,Decor,Rugs,2025-11-28,1063.83,1640.08
SKU-0045,Small Appliances,Air Purifiers,2026-03-05,833.64,1904.82
SKU-0046,Small Appliances,Air Purifiers,2023-08-11,1630.56,3429.37
SKU-0047,Decor,Rugs,2024-05-28,1423.72,2890.82
SKU-0048,Decor,Vases,2023-10-28,768.12,1319.09
SKU-0049,Decor,Lighting,2025-10-29,1024.23,2065.3
SKU-0050,Furnishings,Chairs,2023-11-07,7376.3,11763.13
SKU-0051,Furnishings,Tables,2024-02-15,4846.75,9873.24
SKU-0052,Furnishings,Sofas,2023-08-04,3810.94,7539.01
